,Id,Nutrients,Nutrients_count,Foods,Foods_count,Keep
187,11509105.pdf,"['protein', 'ash', 'fat', 'dietary fibre', 'carbohydrate', 'energy']",6,"['chicken', 'oil', 'barley', 'flour', 'beans', 'orange', 'dal', 'egg', 'rice', 'wheat', 'soya', 'bean', 'maize', 'pumpkin', 'gram', 'lamb', 'corn', 'sorghum', 'pears', 'potatoes', 'meat', 'fish', 'seeds', 'milk', 'groundnut', 'potato', 'milk', 'soyabean', 'beef', 'pork', 'rabbit', 'salmon']",32,Yes
188,11509106.pdf,"['moisture', 'ash', 'fat']",3,"['flour', 'ragi', 'rice', 'wheat', 'bean', 'maize', 'gram', 'tamarind', 'tuna']",9,Yes
189,11509110.pdf,"['protein', 'ash', 'energy']",3,"['oil', 'egg', 'gram', 'moth', 'tuna']",5,Yes
190,11509602.pdf,"['protein', 'ash', 'fat']",3,"['wheat', 'bean', 'gram', 'pears', 'millet', 'tuna']",6,Yes
191,11509640.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'mace', 'dal', 'gram', 'pears', 'milk', 'milk', 'rabbit']",8,Yes
192,11518199.pdf,"['fat', 'energy']",2,"['flour', 'gram', 'moth', 'milk', 'milk', 'lime']",6,Yes
195,11529168.pdf,['fat'],1,"['oil', 'dal', 'rice', 'gram']",4,Yes
196,1168607.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'corn', 'pears']",3,Yes
197,1198634.pdf,"['ash', 'carbohydrate']",2,"['gram', 'pears']",2,Yes
199,1244836.pdf,['protein'],1,"['dal', 'lamb', 'sheep']",3,Yes
202,1390597.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['butter', 'oil', 'dal', 'egg', 'gram', 'potatoes', 'meat', 'fish', 'milk', 'potato', 'milk', 'seafood', 'sugar', 'beef', 'tuna']",15,Yes
203,1390616.pdf,"['protein', 'ash', 'fat', 'dietary fibre', 'carbohydrate', 'energy']",6,"['chicken', 'barley', 'flour', 'beans', 'dal', 'egg', 'rice', 'wheat', 'bean', 'maize', 'gram', 'corn', 'sorghum', 'meat', 'tomato', 'milk', 'milk', 'melon', 'cheese', 'lime', 'beef', 'tuna']",22,Yes
204,1398887.pdf,"['protein', 'ash']",2,"['gram', 'rabbit']",2,Yes
206,1487162.pdf,"['protein', 'ash']",2,"['dal', 'lime']",2,Yes
207,1493125.pdf,"['protein', 'fat', 'dietary fibre', 'carbohydrate', 'energy']",5,"['dal', 'ragi', 'rice', 'gram', 'pears', 'meat', 'fish', 'milk', 'milk', 'sugar']",10,Yes
210,1580376.pdf,"['ash', 'energy']",2,"['oil', 'dal', 'gram', 'tuna']",4,Yes
211,1596502.pdf,"['protein', 'dietary fibre', 'carbohydrate']",3,"['chicken', 'oil', 'flour', 'beans', 'peas', 'egg', 'wheat', 'soya', 'bean', 'gram', 'pears', 'seeds', 'sugar']",13,Yes
212,1603633.pdf,"['protein', 'ash', 'fat']",3,"['dal', 'moth', 'milk', 'milk', 'cheese', 'tuna']",6,Yes
214,162947.pdf,"['protein', 'ash', 'fat']",3,"['orange', 'mace', 'gram', 'corn']",4,Yes
